"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 23 19:28:32 GMT 2021","Mon Aug 23 19:28:33 GMT 2021","812","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the total calculated as subtotal + tax",""
"passed","Mon Aug 23 19:27:15 GMT 2021","Mon Aug 23 19:27:16 GMT 2021","946","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to remove product from cart",""
"passed","Mon Aug 23 19:27:44 GMT 2021","Mon Aug 23 19:27:45 GMT 2021","793","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the payment card information",""
"passed","Mon Aug 23 19:29:23 GMT 2021","Mon Aug 23 19:29:31 GMT 2021","8035","chrome-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should navigate to SauceLabs page when clicking at the about link on menu @slow",""
"passed","Mon Aug 23 19:28:15 GMT 2021","Mon Aug 23 19:28:16 GMT 2021","1824","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items from Z to A",""
"passed","Mon Aug 23 19:29:17 GMT 2021","Mon Aug 23 19:29:19 GMT 2021","2082","chrome-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to close sidemenu clicking at the X button @slow",""
"passed","Mon Aug 23 19:28:01 GMT 2021","Mon Aug 23 19:28:02 GMT 2021","1011","chromium-fhd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order message",""
"passed","Mon Aug 23 19:27:43 GMT 2021","Mon Aug 23 19:27:44 GMT 2021","731","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Mon Aug 23 19:28:07 GMT 2021","Mon Aug 23 19:28:09 GMT 2021","1963","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Inventory page after login",""
"passed","Mon Aug 23 19:27:16 GMT 2021","Mon Aug 23 19:27:18 GMT 2021","1889","chromium-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be back at Inventory page when click at the Back Home button",""
"passed","Mon Aug 23 19:28:36 GMT 2021","Mon Aug 23 19:28:37 GMT 2021","855","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should match cart badge with items in cart",""
"passed","Mon Aug 23 19:28:30 GMT 2021","Mon Aug 23 19:28:31 GMT 2021","882","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the subtotal (total before tax)",""
"passed","Mon Aug 23 19:29:32 GMT 2021","Mon Aug 23 19:29:34 GMT 2021","1636","chrome-fhd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be at Inventory page when clicking at the back to products",""
"passed","Mon Aug 23 19:28:24 GMT 2021","Mon Aug 23 19:28:26 GMT 2021","2187","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be back at Inventory page when click at the cancel button",""
"passed","Mon Aug 23 19:28:01 GMT 2021","Mon Aug 23 19:28:04 GMT 2021","2714","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should back at Invetory page when clicking at the all items link on menu",""
"passed","Mon Aug 23 19:29:44 GMT 2021","Mon Aug 23 19:29:46 GMT 2021","1892","chrome-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to remove product from cart",""
"passed","Mon Aug 23 19:28:58 GMT 2021","Mon Aug 23 19:29:00 GMT 2021","1770","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to remove product from cart",""
"passed","Mon Aug 23 19:28:37 GMT 2021","Mon Aug 23 19:28:37 GMT 2021","833","chrome-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Mon Aug 23 19:29:27 GMT 2021","Mon Aug 23 19:29:29 GMT 2021","1702","chrome-fhd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to complete a purchase @e2e-purchase",""
"passed","Mon Aug 23 19:27:14 GMT 2021","Mon Aug 23 19:27:15 GMT 2021","1023","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go to Checkout Overview page @smoke",""
"passed","Mon Aug 23 19:29:48 GMT 2021","Mon Aug 23 19:29:49 GMT 2021","1075","chrome-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Completed page when click at the finish button",""
